2024-04-11 16:03:05,329 | WARN  | Transport Connection to: ws://192.168.0.112:64356 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64356 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,373 | WARN  | Transport Connection to: ws://192.168.0.112:64357 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64357 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,505 | WARN  | Transport Connection to: ws://192.168.0.112:64358 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64358 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,596 | WARN  | Transport Connection to: ws://192.168.0.112:64359 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64359 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,693 | WARN  | Transport Connection to: ws://192.168.0.112:64360 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64360 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,207 | WARN  | Transport Connection to: ws://192.168.0.112:64361 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64361 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,326 | WARN  | Transport Connection to: ws://192.168.0.112:64362 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64362 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,470 | WARN  | Transport Connection to: ws://192.168.0.112:64363 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64363 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,485 | WARN  | Transport Connection to: ws://192.168.0.112:64364 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64364 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,499 | WARN  | Transport Connection to: ws://192.168.0.112:64365 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64365 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,563 | WARN  | Transport Connection to: ws://192.168.0.112:64366 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64366 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,639 | WARN  | Transport Connection to: ws://192.168.0.112:64367 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64367 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,833 | WARN  | Transport Connection to: ws://192.168.0.112:64368 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64368 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,847 | WARN  | Transport Connection to: ws://192.168.0.112:64369 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64369 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,941 | WARN  | Transport Connection to: ws://192.168.0.112:64370 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64370 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:06,956 | WARN  | Transport Connection to: ws://192.168.0.112:64371 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64371 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,049 | WARN  | Transport Connection to: ws://192.168.0.112:64372 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64372 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,074 | WARN  | Transport Connection to: ws://192.168.0.112:64373 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64373 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,088 | WARN  | Transport Connection to: ws://192.168.0.112:64374 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64374 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,213 | WARN  | Transport Connection to: ws://192.168.0.112:64375 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64375 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,289 | WARN  | Transport Connection to: ws://192.168.0.112:64376 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64376 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,373 | WARN  | Transport Connection to: ws://192.168.0.112:64377 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64377 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,435 | WARN  | Transport Connection to: ws://192.168.0.112:64378 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64378 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
